brand,model,Price,year,KMs,Engine,Price0,
AUDI,A3 (3E GENERATION) SPORTBACK,41460,2021,14225,Petrol-electric hybrid,50720,
AUDI,A3 (4E GENERATION) SPORTBACK,53880,2021,11400,Petrol-electric hybrid,,
AUDI,Q3 (2E GENERATION),80350,2021,12226,Petrol-electric hybrid,,
AUDI,Q5 (2E GENERATION),68200,2021,29698,Petrol-electric hybrid,70000,
AUDI,Q8,130780,2021,6240,Petrol-electric hybrid,131000,
BMW,I3,37470,2020,18044,Electric,39000,
BMW,I3,35530,2020,30230,Electric,39000,
BMW,I3,28320,2019,29153,Electric,35000,
BMW,I3,22020,2018,54600,Electric,34950,
BMW,I8 ROADSTER,152200,2021,1344,Petrol-electric hybrid,167338,
BMW,I8 ROADSTER,129740,2019,20267,Petrol-electric hybrid,147500,
BMW,SERIE 2 F45 ACTIVE TOURER,28330,2018,36703,Petrol-electric hybrid,48000,
BMW,SERIE 2 F45 ACTIVE TOURER,28000,2018,69481,Petrol-electric hybrid,48000,
BMW,SERIE 2 F45 ACTIVE TOURER,26530,2018,55101,Petrol-electric hybrid,48000,
BMW,SERIE 2 F45 ACTIVE TOURER,26060,2018,73935,Petrol-electric hybrid,48000,
BMW,SERIE 2 F45 ACTIVE TOURER,23200,2018,61904,Petrol-electric hybrid,48000,
BMW,SERIE 2 F45 ACTIVE TOURER,19740,2017,128835,Petrol-electric hybrid,48000,
BMW,SERIE 3 G20,58720,2022,6720,Petrol-electric hybrid,74015,
BMW,SERIE 5 G30,47330,2018,24276,Petrol-electric hybrid,61900,
BMW,X1 F48,46650,2021,23820,Petrol-electric hybrid,50000,
BMW,X3 G01,80550,2022,10791,Petrol-electric hybrid,,
BMW,X3 G01,69590,2021,34684,Petrol-electric hybrid,,
BMW,X5 F15,43270,2018,151280,Petrol-electric hybrid,60000,
CITROEN,C-ZERO,9580,2018,36246,Electric,21300,
CITROEN,C-ZERO,13630,2018,17351,Electric,21300,
CITROEN,C5 AIRCROSS,45730,2022,12,Petrol-electric hybrid,,
CITROEN,C5 AIRCROSS,41230,2022,9040,Petrol-electric hybrid,,
CITROEN,E-C4 (3E GENERATION),32740,2022,887,Electric,34640,
DS,5,22530,2018,75825,Hybrid diesel-electric,,
DS,9,61410,2022,34955,Petrol-electric hybrid,,
DS,3 CROSSBACK,31300,2021,5400,Electric,41000,
DS,7 CROSSBACK,67260,2021,6148,Petrol-electric hybrid,,
DS,7 CROSSBACK,67240,2022,10144,Petrol-electric hybrid,,
DS,7 CROSSBACK,66120,2021,12500,Petrol-electric hybrid,,
DS,7 CROSSBACK,62700,2022,14063,Petrol-electric hybrid,63200,
DS,7 CROSSBACK,60400,2022,11,Petrol-electric hybrid,63200,
DS,7 CROSSBACK,58380,2021,15210,Petrol-electric hybrid,63200,
DS,7 CROSSBACK,57220,2022,4683,Petrol-electric hybrid,63200,
DS,7 CROSSBACK,55480,2022,10778,Petrol-electric hybrid,63200,
DS,7 CROSSBACK,51680,2021,32602,Petrol-electric hybrid,63200,
DS,7 CROSSBACK,47140,2020,24150,Petrol-electric hybrid,53100,
FIAT,500 (3E GENERATION),25860,2022,12,Electric,36600,
FIAT,500 (3E GENERATION),24040,2022,1890,Electric,36600,
FIAT,500 C (3E GENERATION),30480,2022,107,Electric,,
FIAT,500 C (3E GENERATION),29020,2022,121,Electric,30000,
FIAT,DUCATO 3,81840,2022,1240,Electric,95670,
HONDA,CR-V 5,42160,2021,1166,Petrol-electric hybrid,47350,
HONDA,JAZZ 4,22790,2022,11,Petrol-electric hybrid,24500,
HONDA,JAZZ 4,21940,2021,4200,Petrol-electric hybrid,22000,
HYUNDAI,IONIQ,33530,2022,1330,Electric,35350,
HYUNDAI,IONIQ,31960,2022,288,Electric,35350,
HYUNDAI,IONIQ,30120,2021,12177,Petrol-electric hybrid,31578,
HYUNDAI,IONIQ,28870,2022,734,Petrol-electric hybrid,35350,
HYUNDAI,KONA,26430,2021,26305,Electric,39104,
HYUNDAI,SANTA FE 4,58880,2022,7052,Petrol-electric hybrid,,
JEEP,RENEGADE,37430,2022,5,Petrol-electric hybrid,41500,
KIA,NIRO,26230,2019,37398,Petrol-electric hybrid,31940,
KIA,XCEED,41250,2022,9375,Petrol-electric hybrid,43000,
KIA,XCEED,37560,2021,11541,Petrol-electric hybrid,43000,
LAND ROVER,DEFENDER 4,136480,2022,16,Petrol-electric hybrid,150000,
LAND ROVER,RANGE ROVER EVOQUE 2,74270,2021,57010,Petrol-electric hybrid,,
LAND ROVER,RANGE ROVER EVOQUE 2,53160,2020,28467,Hybrid diesel-electric,70000,
LAND ROVER,RANGE ROVER EVOQUE 2,47020,2020,72692,Hybrid diesel-electric,70000,
LAND ROVER,RANGE ROVER SPORT 2,136680,2021,8245,Petrol-electric hybrid,150000,
LAND ROVER,RANGE ROVER SPORT 2,113220,2021,21090,Petrol-electric hybrid,150000,
LAND ROVER,RANGE ROVER SPORT 2,113190,2022,11154,Petrol-electric hybrid,150000,
LEXUS,NX,53790,2022,7150,Petrol-electric hybrid,57000,
LEXUS,UX,40340,2022,7735,Petrol-electric hybrid,45000,
LEXUS,UX,36770,2021,34890,Petrol-electric hybrid,45000,
LEXUS,UX,34200,2020,20219,Petrol-electric hybrid,45000,
LEXUS,UX,33480,2021,37037,Petrol-electric hybrid,45000,
MERCEDES,CLASSE A 4,44630,2022,14061,Petrol-electric hybrid,64019,
MERCEDES,CLASSE A 4 BERLINE,50680,2021,26812,Petrol-electric hybrid,,
MERCEDES,CLASSE B 3,53550,2022,21960,Petrol-electric hybrid,55000,
MERCEDES,CLASSE C 4,49950,2020,32330,Hybrid diesel-electric,51641,
MERCEDES,CLASSE C 4,49660,2020,34020,Hybrid diesel-electric,51641,
MERCEDES,CLASSE C 4 SW,27730,2018,94656,Hybrid diesel-electric,45851,
MERCEDES,CLASSE E 5,61860,2021,29129,Hybrid diesel-electric,,
MERCEDES,GLC,64790,2021,24448,Petrol-electric hybrid,66540,
MERCEDES,GLC,40100,2017,84975,Petrol-electric hybrid,42900,
MG,ZS,46230,2022,1063,Electric,,
MG,ZS,41400,2022,935,Electric,,
MINI,3 3P,31020,2021,7658,Electric,33100,
NISSAN,LEAF 2,37380,2022,11,Electric,45500,x
NISSAN,LEAF 2,25060,2022,11,Electric,45500,
NISSAN,LEAF 2,20860,2019,48378,Electric,45500,
OPEL,CORSA 6,27280,2021,8800,Electric,33100,
OPEL,GRANDLAND X,58490,2021,7502,Petrol-electric hybrid,,
OPEL,GRANDLAND X,51900,2021,151,Petrol-electric hybrid,,
OPEL,GRANDLAND X,47720,2021,7688,Petrol-electric hybrid,,
OPEL,GRANDLAND X,42920,2022,11074,Petrol-electric hybrid,,
OPEL,MOKKA 2,48950,2022,6971,Electric,,
PEUGEOT,508,13910,2014,138921,Hybrid diesel-electric,44000,
PEUGEOT,3008 (2E GENERATION),64560,2021,17220,Petrol-electric hybrid,,
PEUGEOT,3008 (2E GENERATION),64480,2021,105,Petrol-electric hybrid,,
PEUGEOT,3008 (2E GENERATION),58910,2022,10947,Petrol-electric hybrid,,
PEUGEOT,3008 (2E GENERATION),54100,2022,11283,Petrol-electric hybrid,,
PEUGEOT,3008 (2E GENERATION),51400,2022,8281,Petrol-electric hybrid,,
PEUGEOT,3008 (2E GENERATION),49310,2021,15939,Petrol-electric hybrid,50000,
PEUGEOT,3008 (2E GENERATION),48960,2022,12,Petrol-electric hybrid,50000,
PEUGEOT,3008 (2E GENERATION),48620,2022,2912,Petrol-electric hybrid,50000,
PEUGEOT,3008 (2E GENERATION),44780,2022,11,Petrol-electric hybrid,50000,
PEUGEOT,3008 (2E GENERATION),44260,2021,29630,Petrol-electric hybrid,50000,
PEUGEOT,3008 (2E GENERATION),44070,2022,5336,Petrol-electric hybrid,50000,
PEUGEOT,508 (2E GENERATION),38580,2021,7908,Petrol-electric hybrid,45000,
PEUGEOT,508 (2E GENERATION) PSE,60930,2022,2165,Petrol-electric hybrid,,
PEUGEOT,508 (2E GENERATION) SW,46610,2021,28905,Petrol-electric hybrid,59000,
PEUGEOT,E-2008 (2E GENERATION),36780,2021,10925,Electric,37500,
PEUGEOT,E-2008 (2E GENERATION),36230,2021,24056,Electric,37500,
PEUGEOT,E-2008 (2E GENERATION),34480,2021,20927,Electric,36500,
PEUGEOT,EXPERT 3 FOURGON,42430,2022,7,Electric,57940,
PEUGEOT,PARTNER 2 FOURGON,16320,2018,26893,Electric,19000,
PORSCHE,CAYENNE 2,40260,2017,235320,Petrol-electric hybrid,70000,
PORSCHE,CAYENNE 3 COUPE,190630,2020,2199,Petrol-electric hybrid,192320,
PORSCHE,CAYENNE 3 COUPE,162900,2022,1140,Petrol-electric hybrid,192320,
PORSCHE,CAYENNE 3 COUPE,160080,2022,22040,Petrol-electric hybrid,192320,
PORSCHE,CAYENNE 3 COUPE,146980,2022,7915,Petrol-electric hybrid,192320,
PORSCHE,CAYENNE 3 COUPE,135870,2021,5726,Petrol-electric hybrid,192320,
PORSCHE,PANAMERA 2,158180,2020,113,Petrol-electric hybrid,,
PORSCHE,PANAMERA 2,103820,2018,62630,Petrol-electric hybrid,,
PORSCHE,PANAMERA 2 SPORT TURISMO,95880,2019,139800,Petrol-electric hybrid,141000,
PORSCHE,PANAMERA 2 SPORT TURISMO,155230,2020,1318,Petrol-electric hybrid,,
PORSCHE,PANAMERA 2 SPORT TURISMO,129780,2020,37843,Petrol-electric hybrid,141000,
PORSCHE,PANAMERA 2 SPORT TURISMO,122940,2020,17013,Petrol-electric hybrid,141000,
PORSCHE,TAYCAN,212480,2021,12875,Electric,,
PORSCHE,TAYCAN,175130,2022,20024,Electric,194000,
PORSCHE,TAYCAN,133730,2022,4398,Electric,194000,
RENAULT,ARKANA,42770,2022,1230,Petrol-electric hybrid,,
RENAULT,ARKANA,38420,2022,4232,Petrol-electric hybrid,,
RENAULT,ARKANA,38420,2022,2358,Petrol-electric hybrid,,
RENAULT,CAPTUR 2,28400,2021,14,Petrol-electric hybrid,34200,
RENAULT,GRAND SCENIC 4,19120,2018,50686,Hybrid diesel-electric,26555,
RENAULT,SCENIC 4,18850,2019,44737,Hybrid diesel-electric,30000,
RENAULT,ZOE,9610,2016,53119,Electric,20700,
RENAULT,ZOE,23970,2020,6826,Electric,34900,
RENAULT,ZOE,15250,2019,20870,Electric,34900,
RENAULT,ZOE,14130,2020,23209,Electric,34900,
SMART,FORFOUR 2,16180,2020,9544,Electric,19120,
SUBARU,FORESTER 5,43970,2022,11,Petrol-electric hybrid,57940,
SUZUKI,ACROSS,58550,2022,1,Petrol-electric hybrid,,
TESLA,MODEL 3,60870,2021,55671,Electric,,
TESLA,MODEL X,118680,2020,21480,Electric,121990,
TOYOTA,AURIS 2,19190,2018,27940,Petrol-electric hybrid,20000,
TOYOTA,AURIS 2,17620,2017,122573,Petrol-electric hybrid,20000,
TOYOTA,AURIS 2,16220,2017,111676,Petrol-electric hybrid,20000,
TOYOTA,C-HR,39020,2021,13765,Petrol-electric hybrid,,
TOYOTA,C-HR,34110,2022,6300,Petrol-electric hybrid,36800,
TOYOTA,C-HR,32870,2022,17638,Petrol-electric hybrid,36800,
TOYOTA,C-HR,23850,2020,48995,Petrol-electric hybrid,27150,
TOYOTA,C-HR,22940,2020,44802,Petrol-electric hybrid,27150,
TOYOTA,COROLLA 12,29480,2022,7894,Petrol-electric hybrid,32500,
TOYOTA,COROLLA 12,27270,2021,6825,Petrol-electric hybrid,33900,
TOYOTA,COROLLA 12,26320,2021,14874,Petrol-electric hybrid,33900,
TOYOTA,COROLLA 12,26020,2021,33947,Petrol-electric hybrid,33900,
TOYOTA,COROLLA 12,24660,2021,26374,Petrol-electric hybrid,33900,
TOYOTA,COROLLA 12,19870,2020,40210,Petrol-electric hybrid,25020,
TOYOTA,COROLLA 12 TOURING SPORTS,38330,2022,8260,Petrol-electric hybrid,40500,
TOYOTA,COROLLA 12 TOURING SPORTS,36450,2022,3553,Petrol-electric hybrid,40500,
TOYOTA,COROLLA 12 TOURING SPORTS,31060,2022,10291,Petrol-electric hybrid,40500,
TOYOTA,COROLLA 12 TOURING SPORTS,21380,2020,91225,Petrol-electric hybrid,24800,
TOYOTA,PROACE 2,42000,2022,4200,Electric,62120,
TOYOTA,RAV 4,42670,2022,10679,Hybrid diesel-electric,50000,
TOYOTA,RAV 4,40580,2022,8091,Hybrid diesel-electric,50000,
TOYOTA,RAV 4 (4E GENERATION),29130,2018,37930,Petrol-electric hybrid,38950,
TOYOTA,RAV 4 (4E GENERATION),29100,2017,89169,Petrol-electric hybrid,38950,
TOYOTA,RAV 4 (4E GENERATION),22240,2017,89752,Petrol-electric hybrid,38950,
TOYOTA,RAV 4 (5E GENERATION),51460,2022,10726,Petrol-electric hybrid,54000,
TOYOTA,RAV 4 (5E GENERATION),45180,2020,22487,Petrol-electric hybrid,54000,
TOYOTA,YARIS 3,17420,2019,29699,Petrol-electric hybrid,20000,
TOYOTA,YARIS 4,26040,2022,2567,Petrol-electric hybrid,30000,
TOYOTA,YARIS 4,24170,2022,12,Petrol-electric hybrid,25000,
VOLKSWAGEN,GOLF 7,31980,2021,10379,Petrol-electric hybrid,36010,
VOLKSWAGEN,GOLF 7,27140,2018,74120,Petrol-electric hybrid,28035,
VOLKSWAGEN,PASSAT 8,29190,2019,39689,Petrol-electric hybrid,31000,
VOLKSWAGEN,TOUAREG 3,99210,2021,11681,Petrol-electric hybrid,,
VOLKSWAGEN,TOUAREG 3,94690,2021,16328,Petrol-electric hybrid,95000,
VOLVO,S60 (3E GENERATION),71560,2022,11,Petrol-electric hybrid,,
VOLVO,V90 (2E GENERATION),43970,2018,140193,Petrol-electric hybrid,53300,
VOLVO,XC60 (2E GENERATION),87370,2022,7500,Petrol-electric hybrid,,
VOLVO,XC60 (2E GENERATION),69000,2021,12,Petrol-electric hybrid,72000,
VOLVO,XC60 (2E GENERATION),66320,2022,12626,Petrol-electric hybrid,72000,
VOLVO,XC60 (2E GENERATION),63600,2020,57963,Petrol-electric hybrid,72000,
VOLVO,XC60 (2E GENERATION),60390,2022,13415,Petrol-electric hybrid,72000,
VOLVO,XC60 (2E GENERATION),60300,2021,7743,Petrol-electric hybrid,72000,
VOLVO,XC60 (2E GENERATION),44440,2019,168513,Petrol-electric hybrid,60000,
VOLVO,XC90 (2E GENERATION),79680,2021,32159,Petrol-electric hybrid,85000,